FIPS,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban
1001,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1003,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1005,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1007,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1009,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1011,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1013,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1015,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1017,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1019,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1021,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1023,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1025,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1027,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1029,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1031,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1033,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1035,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1037,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1039,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1041,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1043,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1045,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1047,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1049,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1051,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1053,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1055,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1057,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1059,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1061,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1063,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1065,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1067,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1069,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1071,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1073,737510.0,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1075,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1077,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1079,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1081,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1083,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1085,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1087,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1089,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1091,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1093,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1095,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1097,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1099,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1101,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1103,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1105,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1107,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1109,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1111,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1113,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1115,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1117,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1119,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1121,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1123,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1125,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1127,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1129,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1131,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
1133,,737504.0,737497.0,737500.0,737503.0,,737500.0,737495.0
2013,,,,737503.0,737501.0,737501.0,737500.0,737495.0
2016,,,,737503.0,737501.0,737501.0,737500.0,737495.0
2020,737506.0,737506.0,737506.0,737503.0,737501.0,737501.0,737500.0,737495.0
2050,,,,737503.0,737501.0,737501.0,737500.0,737495.0
2060,,,,737503.0,737501.0,737501.0,737500.0,737495.0
2068,,,,737503.0,737501.0,737501.0,737500.0,737495.0
2070,,,,737503.0,737501.0,737501.0,737500.0,737495.0
